61:0.9250072330745902, 43:0.49053650114836467, 90:0.8845274364420161, 25:0.652754571967149, 47:0.6281996816739746
13:0.7467546625449462, 83:0.3925694585711682, 81:0.564119451445539, 16:0.008751631151031836, 28:0.6330693867402896
31:0.15769344861349865, 23:0.2584036358512992, 6:0.6323846810764738, 6:0.2690271501426297, 71:0.27730929682772787
10:0.7731664307887017, 17:0.2479548876708848, 3:0.03470756604110681, 5:0.7942010502139701, 71:0.9561339527141983
86:0.12002403655230331, 43:0.9873448875385401, 67:0.3020074816672743, 97:0.01861202536032247, 17:0.7351402944838633
90:0.46969676440997743, 67:0.6005963665080345, 32:0.03268048562132009, 59:0.903685685322127, 27:0.7903812388854646
48:0.35358500124385484, 32:0.7012451566935218, 37:0.5758659390273327, 17:0.6457816856879256, 66:0.7939970892339062
74:0.7149604196161787, 31:0.27205647264489674, 48:0.2975358982516362, 56:0.11791200684125924, 64:0.6877985574240647
71:0.8426688737349685, 71:0.5061258566006984, 66:0.1414156822074134, 51:0.9274124160324747, 61:0.5004531192288524
26:0.5865343039205553, 21:0.6124694604954408, 79:0.3035293148509387, 60:0.6319435074942785, 46:0.965472412454889
86:0.5970107635900337, 59:0.8971655018180982, 40:0.5074890465193559, 18:0.8319737382357653, 59:0.008765257374132363
14:0.8317817864138899, 14:0.6003507688795263, 88:0.48302289200142956, 36:0.9324469330192355, 3:0.833985984684188
47:0.10127680863645638, 88:0.52505285122766, 21:0.743762764582929, 32:0.1855642869451175, 40:0.929568439811688
21:0.12424153971192586, 47:0.35904226185418864, 72:0.11891855194059353, 62:0.7248852310772557, 79:0.8556505459924246
63:0.4883379942804422, 33:0.15692867299865942, 91:0.34505975049269333, 92:0.833577089200755, 60:0.09809400396636425
89:0.14700921627076502, 32:0.36123345417331076, 85:0.7947866928327603, 69:0.6275065000438297, 41:0.7606094964731538
60:0.562721249628455, 22:0.23341536307468413, 80:0.6320025124236882, 26:0.27671253112770033, 12:0.10852889074600713
65:0.26421029014962205, 96:0.955841485364824, 12:0.5640699410759832, 36:0.07495038740905158, 38:0.08168826578720267
62:0.33895237933780087, 26:0.0033465834436499087, 13:0.9118654785117859, 54:0.7423046495765891, 46:0.6050079517298343
21:0.46410035538163297, 41:0.473011589865999, 3:0.9610685830768133, 12:0.9688156027820215, 90:0.5192482032747276
